epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.70168,1.09644,2.75113,1.47836,0.56598,0.85,0.84903,0.63234,1.65088,1.07617,1.38306,0,0,0
2,5.07287,1.16491,2.77836,1.47498,0.55715,0.85,0.88731,0.62032,1.66538,1.06462,1.38314,1.17822e-06,1.17822e-06,1.17822e-06
3,5.78788,1.09001,2.48725,1.21549,0.55849,0.85,0.8503,0.6164,1.67526,1.05069,1.38406,2.33288e-06,2.33288e-06,2.33288e-06
4,6.39983,1.17021,2.76726,1.48615,0.55003,0.85,0.85731,0.62294,1.66472,1.04002,1.36689,3.46397e-06,3.46397e-06,3.46397e-06
5,7.01834,1.19821,2.3972,1.60826,0.54598,0.85,0.85871,0.62341,1.67396,1.04889,1.36668,4.5715e-06,4.5715e-06,4.5715e-06
6,7.65287,0.82089,1.83264,1.14089,0.55125,0.86027,0.85842,0.61404,1.66957,1.03703,1.3647,5.65548e-06,5.65548e-06,5.65548e-06
7,8.41088,1.40328,2.68942,1.75747,0.54377,0.86667,0.8608,0.62921,1.66434,1.05536,1.36448,6.71588e-06,6.71588e-06,6.71588e-06
8,9.10008,1.232,3.76974,1.6737,0.54769,0.87499,0.89757,0.61685,1.66385,1.05571,1.35839,7.75273e-06,7.75273e-06,7.75273e-06
9,9.84107,0.82506,2.75173,1.23527,0.55213,0.86667,0.89569,0.63297,1.6618,1.05708,1.35585,8.76602e-06,8.76602e-06,8.76602e-06
10,10.5558,1.02579,2.03,1.26033,0.63998,0.94906,0.91167,0.63607,1.6544,1.05619,1.35014,9.75574e-06,9.75574e-06,9.75574e-06
11,11.223,1.16293,2.12732,1.54615,0.61949,0.95,0.91165,0.64488,1.65101,1.05489,1.34747,1.07219e-05,1.07219e-05,1.07219e-05
12,11.9684,0.99073,2.17508,1.35932,0.62959,0.95,0.91071,0.64519,1.65169,1.06067,1.34676,1.16645e-05,1.16645e-05,1.16645e-05
13,12.685,1.33699,3.03482,1.77824,0.63883,0.95,0.91059,0.64739,1.65357,1.06777,1.34833,1.25835e-05,1.25835e-05,1.25835e-05
14,13.4205,0.81264,2.4167,1.23891,0.6486,0.95,0.91207,0.64727,1.65446,1.0763,1.34914,1.3479e-05,1.3479e-05,1.3479e-05
15,14.2326,1.24085,2.91697,1.51017,0.64967,0.78333,0.91315,0.64807,1.65133,1.08469,1.34866,1.43509e-05,1.43509e-05,1.43509e-05
16,14.8535,1.17683,1.95033,1.49502,0.65464,0.78333,0.91209,0.64735,1.63881,1.0871,1.34365,1.51993e-05,1.51993e-05,1.51993e-05
17,15.4516,0.82992,1.49764,1.18819,0.6513,0.78333,0.91235,0.64774,1.64325,1.09962,1.34747,1.60241e-05,1.60241e-05,1.60241e-05
18,16.1319,0.59447,1.24715,0.97689,0.6513,0.78333,0.91235,0.64774,1.64325,1.09962,1.34747,1.68253e-05,1.68253e-05,1.68253e-05
19,16.7104,0.69804,1.4758,1.03382,0.65133,0.78333,0.90988,0.64537,1.64782,1.13303,1.35255,1.7603e-05,1.7603e-05,1.7603e-05
20,17.3193,1.16482,1.7472,1.3385,0.65133,0.78333,0.90988,0.64537,1.64782,1.13303,1.35255,1.83571e-05,1.83571e-05,1.83571e-05
21,17.9092,0.76125,1.72535,1.17491,0.65153,0.78333,0.90885,0.64263,1.64314,1.16603,1.35762,1.90876e-05,1.90876e-05,1.90876e-05
22,18.5135,1.05511,1.67626,1.23329,0.65153,0.78333,0.90885,0.64263,1.64314,1.16603,1.35762,1.97946e-05,1.97946e-05,1.97946e-05
23,19.0946,0.89969,1.60969,1.33464,0.81755,0.65,0.85488,0.62735,1.64678,1.18869,1.36051,2.0478e-05,2.0478e-05,2.0478e-05
24,19.6748,0.90842,1.5892,1.21789,0.81755,0.65,0.85488,0.62735,1.64678,1.18869,1.36051,2.11379e-05,2.11379e-05,2.11379e-05
25,20.3257,0.66617,1.97912,1.07427,0.81872,0.65,0.85515,0.62521,1.64761,1.20989,1.36522,2.17741e-05,2.17741e-05,2.17741e-05
26,21.1005,0.8673,1.27813,1.18381,0.81872,0.65,0.85515,0.62521,1.64761,1.20989,1.36522,2.23869e-05,2.23869e-05,2.23869e-05
27,21.7017,0.95499,1.44167,1.4118,0.83016,0.65,0.85454,0.59987,1.67594,1.27195,1.38217,2.2976e-05,2.2976e-05,2.2976e-05
28,22.3146,0.94663,1.19886,1.22928,0.83016,0.65,0.85454,0.59987,1.67594,1.27195,1.38217,2.35417e-05,2.35417e-05,2.35417e-05
29,22.9684,0.97208,1.67424,1.29648,0.82487,0.65,0.85458,0.59999,1.66911,1.29454,1.38006,2.40837e-05,2.40837e-05,2.40837e-05
30,23.6022,1.00533,1.22225,1.29198,0.82487,0.65,0.85458,0.59999,1.66911,1.29454,1.38006,2.46022e-05,2.46022e-05,2.46022e-05
